Id,SalePrice
1461,114916.44607276138
1462,166202.66440565186
1463,188841.41870035743
1464,195657.6744365887
1465,181670.64724959084
1466,163539.836202728
1467,167786.93058314524
1468,160712.11814540226
1469,187515.6474998215
1470,121821.12172042707
1471,185355.78818267366
1472,92695.26080185344
1473,96901.81331030265
1474,147231.06537915132
1475,119192.09020020066
1476,364181.05573352484
1477,249747.49006505727
1478,264720.42115998804
1479,292656.4089717653
1480,539285.7299770194
1481,336378.2393255512
1482,208254.88367081364
1483,173491.39870912253
1484,154198.42143319838
1485,186469.36721749097
1486,193293.5309599848
1487,331409.99265995185
1488,236921.26150991302
1489,196699.46482757246
1490,235263.6612902037
1491,191299.24248956732
1492,86121.58526714644
1493,169794.4075702043
1494,298293.6371750056
1495,292126.4711821275
1496,237953.3247664469
1497,189222.4580407517
1498,164681.12713526134
1499,158639.74742547108
1500,157011.17890767328
1501,174537.47816814014
1502,149920.16661834187
1503,263926.3083245147
1504,236498.70519378304
1505,223927.22670986643
1506,200730.75349447562
1507,254846.16604221595
1508,191602.06438636885
1509,158492.53654167568
1510,138406.27437543756
1511,146673.18613267544
1512,173352.0839757668
1513,143327.71304087708
1514,150979.97078443732
1515,200678.08019354029
1516,142088.27043782474
1517,175898.43983106271
1518,142583.53360726283
1519,209085.98797031227
1520,129303.60434072788
1521,136388.18372755387
1522,179968.17258434996
1523,114004.07907140773
1524,141618.9409866928
1525,121676.27635122738
1526,108172.55145036042
1527,112730.91190864341
1528,132158.4123532551
1529,156015.64099122805
1530,167731.76604343293
1531,111737.13555662027
1532,87022.47900903985
1533,168615.7454832252
1534,133213.86772246694
1535,156346.35354712326
1536,109920.61672105215
1537,74933.07477471442
1538,142009.18636491045
1539,189823.0709206537
1540,97054.69926904955
1541,145941.51880496225
1542,144094.0312838229
1543,188036.26677527552
1544,79752.94497268178
1545,106088.48592399579
1546,128801.44989917392
1547,119789.09361438683
1548,127546.53280505314
1549,116431.81942606487
1550,131555.32386910246
1551,107653.82949578002
1552,150553.11333260525
1553,144489.3670251107
1554,119134.73092027032
1555,185583.97832791044
1556,89161.71803272015
1557,105465.11612735425
1558,97532.99454788421
1559,83020.25770910407
1560,131982.6681457723
1561,124714.26186686376
1562,136392.20591744743
1563,124821.68710517652
1564,155888.58031210784
1565,152211.3509190795
1566,255412.90254477688
1567,73075.9460127526
1568,251582.34453638678
1569,142778.6434485132
1570,148561.96640730614
1571,135623.79596388072
1572,154616.69168710953
1573,255033.20252283648
1574,125436.45713060437
1575,233045.30461481627
1576,238710.2685633813
1577,171338.02807883895
1578,139834.67591619157
1579,142476.47141078557
1580,193895.85480636376
1581,157835.3960793029
1582,118698.75139508295
1583,305700.51903810416
1584,223694.10640442805
1585,133240.99573892413
1586,63560.49852965362
1587,101866.0148640593
1588,159309.63694437192
1589,95185.85837027206
1590,138690.57137639666
1591,101172.71934637203
1592,118936.28905590762
1593,114134.35924624113
1594,124520.03540077095
1595,123384.39544332123
1596,219641.4343682866
1597,197983.0033284019
1598,213397.78854773636
1599,166782.98666276713
1600,158684.06032007613
1601,69735.5646073676
1602,120364.40010373452
1603,86773.99106785923
1604,252384.6793724659
1605,251352.54624668366
1606,167332.04688461268
1607,171098.26531488998
1608,227839.78464988922
1609,185952.73551613057
1610,154296.02209451102
1611,140847.34974654752
1612,178175.44293166662
1613,172340.68720820235
1614,127577.48085612687
1615,97291.73443616237
1616,82938.16465467901
1617,98166.98434665502
1618,127450.3599554181
1619,131140.11975774512
1620,173819.53889959026
1621,143512.3501473881
1622,140261.3333956947
1623,276279.240825541
1624,219341.44147632882
1625,113408.29190558108
1626,167406.61796419154
1627,193336.61745569052
1628,282565.940155698
1629,179550.26875354414
1630,359159.93580008484
1631,215224.96708686673
1632,252231.64272730405
1633,167103.5921286728
1634,184790.37683120172
1635,171429.44617970084
1636,147061.790828282
1637,189913.96482187381
1638,175650.21132800932
1639,178268.06646761528
1640,253035.95132963918
1641,189492.43440244827
1642,255664.04124551406
1643,219080.6415138566
1644,233755.69945502863
1645,203670.75262666913
